"ano","id_municipio_nome","sigla_uf","natureza_juridica","populacao_atendida_agua","populacao_atentida_esgoto","populacao_urbana","volume_agua_produzido","volume_agua_faturado","consumo_eletrico_sistemas_agua","consumo_eletrico_sistemas_esgoto","volume_esgoto_tratado","volume_esgoto_faturado","receita_operacional_direta","receita_operacional_direta_agua","receita_operacional_direta_esgoto","arrecadacao_total","despesa_energia","investimento_agua_prestador","investimento_esgoto_prestador","investimento_total_prestador","investimento_agua_municipio","investimento_esgoto_municipio","investimento_total_municipio","investimento_agua_estado","investimento_esgoto_estado","investimento_total_estado"
2003,"Itarantim","BA","Sociedade de economia mista com administracao publica",NA,0,12891,NA,NA,NA,0,0,0,730155.1,NA,0,634946,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Lapão","BA","Sociedade de economia mista com administracao publica",NA,0,9660,NA,NA,NA,0,0,0,421304.78,NA,0,472488,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Malhada de Pedras","BA","Sociedade de economia mista com administracao publica",NA,0,2446,NA,NA,NA,0,0,0,125357.5,NA,0,113090,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Palmeiras","BA","Sociedade de economia mista com administracao publica",NA,0,4102,NA,NA,NA,NA,NA,NA,181848.16,NA,0,183993.8,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Queimadas","BA","Sociedade de economia mista com administracao publica",NA,0,10079,NA,NA,NA,NA,NA,NA,529226.9,NA,0,476521.46,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Retirolândia","BA","Sociedade de economia mista com administracao publica",NA,0,5323,NA,NA,NA,NA,NA,NA,283569.08,NA,0,285294.34,85271.26,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Rio do Pires","BA","Sociedade de economia mista com administracao publica",NA,0,4293,NA,NA,NA,0,NA,NA,180370.88,NA,0,190587.62,NA,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Uruçuca","BA","Sociedade de economia mista com administracao publica",NA,0,8801,NA,NA,NA,NA,NA,NA,824611.45,NA,0,742017.28,47546.49,NA,0,97000,NA,NA,NA,NA,NA,NA
2005,"Barão de Grajaú","MA","Sociedade de economia mista com administracao publica",NA,0,8482,NA,NA,NA,0,0,0,305580.54,NA,0,335667.03,142519.67,NA,0,0,NA,NA,NA,NA,NA,NA
2003,"Buriticupu","MA","Sociedade de economia mista com administracao publica",NA,0,29259,NA,NA,NA,0,0,0,289175,NA,0,216500,228944,NA,0,1528154,NA,NA,NA,NA,NA,NA
2006,"Cajari","MA","Sociedade de economia mista com administracao publica",NA,0,3212,NA,NA,NA,0,0,0,0,NA,0,0,11383.83,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Lima Campos","MA","Sociedade de economia mista com administracao publica",NA,0,6214,NA,NA,NA,NA,NA,NA,234814.38,NA,0,218896.3,38572.37,NA,0,15800,NA,NA,NA,NA,NA,NA
2004,"Monção","MA","Sociedade de economia mista com administracao publica",NA,0,9123,NA,NA,NA,NA,NA,NA,173827.01,NA,0,135573.33,74775.14,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Santo Antônio dos Lopes","MA","Sociedade de economia mista com administracao publica",NA,0,5304,NA,NA,NA,NA,NA,NA,213614.22,NA,0,191960.67,87537.91,NA,0,0,NA,NA,NA,NA,NA,NA
2005,"Baixa Grande do Ribeiro","PI","Sociedade de economia mista com administracao publica",NA,0,4130,NA,NA,NA,0,0,0,169299.73,NA,0,195157.54,104365.7,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Conceição do Canindé","PI","Sociedade de economia mista com administracao publica",NA,0,2914,NA,NA,NA,NA,NA,NA,152350.58,NA,0,158789.93,87807.72,NA,0,0,NA,NA,NA,NA,NA,NA
2006,"Flores do Piauí","PI","Sociedade de economia mista com administracao publica",NA,0,1611,NA,NA,NA,NA,NA,NA,147202.3,NA,0,155787.25,105727.98,NA,0,0,NA,NA,NA,NA,NA,NA
2004,"Palmeirais","PI","Sociedade de economia mista com administracao publica",NA,0,4550,NA,NA,NA,NA,NA,NA,187760,NA,0,205060.2,34194,NA,0,0,NA,NA,NA,NA,NA,NA
2011,"Cruz das Almas","BA","Sociedade de economia mista com administracao publica",NA,680,50259,NA,NA,NA,0,0,0,4958580,NA,0,5103256,537087,NA,2952000,2952000,NA,NA,NA,NA,NA,NA
2010,"Pintadas","BA","Administracao publica direta",NA,3820,5840,NA,NA,NA,NA,NA,0,0,NA,0,0,4342.8,NA,21251.01,239428.96,NA,NA,NA,NA,NA,NA
2009,"Floresta do Piauí","PI","Administracao publica direta",NA,2433,883,NA,NA,NA,0,0,0,0,NA,0,0,1200,NA,0,0,NA,NA,NA,NA,0,0
2006,"Cruz das Almas","BA","Sociedade de economia mista com administracao publica",NA,0,43558,NA,NA,NA,NA,NA,NA,2512355.94,NA,0,2809410.68,485684.46,NA,0,15000,NA,NA,NA,NA,NA,NA
2006,"Dom Macedo Costa","BA","Sociedade de economia mista com administracao publica",NA,0,1257,NA,NA,NA,NA,NA,NA,114704.39,NA,0,115181.17,35840.34,NA,0,3000,NA,NA,NA,NA,NA,NA
2006,"Iuiú","BA","Sociedade de economia mista com administracao publica",NA,0,4458,NA,NA,NA,NA,NA,NA,248257,NA,0,260026.27,117381.34,NA,0,0,NA,NA,NA,NA,NA,NA
